src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time
140.82.113.22,192.168.100.12,443,40948,6,Benign,0.11152735000359826
140.82.113.22,192.168.100.12,443,40948,6,Benign,0.06065204500919208
140.82.112.21,192.168.100.12,443,38910,6,Benign,0.06837976699171122
192.168.100.12,140.82.112.21,38910,443,6,Benign,0.07636563500273041
192.168.100.12,140.82.112.21,38910,443,6,Benign,0.05968152299465146
192.168.100.12,13.89.179.14,52912,443,6,Benign,0.0376121500012232
192.168.100.12,140.82.112.22,43580,443,6,Benign,0.06519764800032135
140.82.112.22,192.168.100.12,443,43580,6,Benign,0.052741184990736656
140.82.112.22,192.168.100.12,443,43580,6,Benign,0.04741026500414591
13.89.179.14,192.168.100.12,443,58710,6,Benign,0.06800760100304615
192.168.100.12,52.182.143.208,50600,443,6,DoS,0.055441265998524614
192.168.100.12,169.254.169.254,58230,80,6,Benign,0.05026556299708318
192.168.100.12,20.189.173.8,34962,443,6,Benign,0.04680385100073181
192.168.100.12,18.97.36.60,51026,443,6,Benign,0.051599099999293685
13.89.179.14,192.168.100.12,443,52912,6,Benign,0.041562662008800544
140.82.113.25,192.168.100.12,443,38558,6,Benign,0.045481955996365286
