src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
20.205.243.168,192.168.100.50,443,42054,6,Benign,0.6686 seconds,1.0
20.205.243.168,192.168.100.50,443,42054,6,Benign,0.4989 seconds,0.9801352082920709
192.168.100.50,20.189.173.14,37486,443,6,Benign,0.6374 seconds,0.9811111111111113
192.168.100.50,169.254.169.254,56510,80,6,Benign,0.6602 seconds,0.9708775052108386
192.168.100.52,224.0.0.251,5353,5353,17,Benign,0.6908 seconds,0.9185483870967742
192.168.100.51,224.0.0.251,5353,5353,17,Benign,0.8565 seconds,0.8111182459515793
192.168.100.50,192.168.100.1,51955,53,17,Benign,0.5881 seconds,0.9966666666666667
192.168.100.50,34.107.243.93,43426,443,6,Benign,0.5886 seconds,0.9595938613184991
192.168.100.50,192.168.100.1,46166,53,17,Benign,0.7014 seconds,0.9933333333333333
192.168.100.50,192.168.100.1,58679,53,17,Benign,0.5977 seconds,0.99
192.168.100.49,224.0.0.251,5353,5353,17,Benign,0.7822 seconds,0.8939928315412186
192.168.100.50,192.168.100.1,33907,53,17,Benign,0.7799 seconds,1.0
192.168.100.50,192.168.100.1,33437,53,17,Benign,0.6297 seconds,0.9933333333333333
192.168.100.50,192.168.100.1,44130,53,17,Benign,0.4027 seconds,0.9966666666666667
192.168.100.50,192.168.100.1,39834,53,17,Benign,0.4933 seconds,1.0
192.168.100.50,34.107.243.93,55198,443,6,Benign,0.4109 seconds,0.99
192.168.100.50,34.107.243.93,55208,443,6,Benign,0.5846 seconds,0.9933333333333333
192.168.100.52,224.0.0.251,5353,5353,17,Benign,0.7429 seconds,0.9241084319901525
192.168.100.50,192.168.100.1,43020,53,17,Benign,0.5297 seconds,0.9966666666666667
192.168.100.50,192.168.100.1,33893,53,17,Benign,0.7326 seconds,1.0
